Beneficiários por Município
Assistência Médica por Município
Grande Região: Nordeste
Período:Dez/2014
"Município";"Assistência_Médica"
"230610 Irauçuba";169
"230620 Itaiçaba";107
"230625 Itaitinga";3311
"230630 Itapagé";503
"230640 Itapipoca";2802
"230650 Itapiúna";101
"230655 Itarema";215
"230660 Itatira";63
"230670 Jaguaretama";191
"230680 Jaguaribara";169
"230690 Jaguaribe";1043
"230700 Jaguaruana";577
"230710 Jardim";388
"230720 Jati";409
"230725 Jijoca de Jericoacoara";235
"230730 Juazeiro do Norte";27088
"230740 Jucás";185
"230750 Lavras da Mangabeira";445
"230760 Limoeiro do Norte";3701
"230763 Madalena";128
"230765 Maracanaú";55292
"230770 Maranguape";6960
"230780 Marco";384
"230790 Martinópole";60
"230800 Massapê";420
"230810 Mauriti";725
"230820 Meruoca";106
"230830 Milagres";778
"230835 Milhã";152
"230837 Miraíma";28
"230840 Missão Velha";740
"230850 Mombaça";439
"230860 Monsenhor Tabosa";121
"230870 Morada Nova";1477
"230880 Moraújo";38
"230890 Morrinhos";178
"230900 Mucambo";180
"230910 Mulungu";72
"230920 Nova Olinda";191
"230930 Nova Russas";812
"230940 Novo Oriente";182
"230945 Ocara";135
"230950 Orós";225
"230960 Pacajus";6143
"230970 Pacatuba";2973
"230980 Pacoti";125
"230990 Pacujá";58
"231000 Palhano";72
"231010 Palmácia";109
"231020 Paracuru";1909
"231025 Paraipaba";1487
"231030 Parambu";183
"231040 Paramoti";64
"231050 Pedra Branca";245
"231060 Penaforte";111
"231070 Pentecoste";534
"231080 Pereiro";262
"231085 Pindoretama";771
"231090 Piquet Carneiro";73
"231095 Pires Ferreira";22
"231100 Poranga";45
"231110 Porteiras";188
"231120 Potengi";102
"231123 Potiretama";46
"231126 Quiterianópolis";54
"231130 Quixadá";3533
"231135 Quixelô";79
"231140 Quixeramobim";1693
"231150 Quixeré";314
"231160 Redenção";841
"231170 Reriutaba";198
"231180 Russas";2522
"231190 Saboeiro";94
"231195 Salitre";28
"231220 Santa Quitéria";666
"231200 Santana do Acaraú";298
"231210 Santana do Cariri";136
"231230 São Benedito";715
"231240 São Gonçalo do Amarante";10565
"231250 São João do Jaguaribe";176
"231260 São Luís do Curu";371
"231270 Senador Pompeu";505
"231280 Senador Sá";15
"231290 Sobral";18895
"231300 Solonópole";258
"231310 Tabuleiro do Norte";1273
"231320 Tamboril";185
"231325 Tarrafas";31
"231330 Tauá";1413
